,cap_grade,delay_grade,overall_grade_avg_of_avgs,overall_grade_direct,speed_grade,time
"('2012-10-01 16:55:00', '2012-10-01 17:00:00')",8.4408713692946051,5.0930875576036865,7.688176973002915,5.2525345622119817,9.5305719921104544,16:57:30
"('2012-10-01 17:00:00', '2012-10-01 17:05:00')",8.1917670682730925,5.1404593639575973,7.6286220929913284,5.1451707891637222,9.5536398467432946,17:02:30
"('2012-10-01 17:05:00', '2012-10-01 17:10:00')",8.1477272727272734,5.3091076356945726,7.628565565679911,5.1729530818767246,9.4288617886178869,17:07:30
"('2012-10-01 17:10:00', '2012-10-01 17:15:00')",8.2462311557788937,5.2661804922515953,7.6717562636292103,5.3549073230021271,9.5028571428571436,17:12:30
"('2012-10-01 17:15:00', '2012-10-01 17:20:00')",8.0761421319796955,5.2104787714543814,7.4682069678113594,5.0659439927732608,9.1180000000000003,17:17:30
"('2012-10-01 17:20:00', '2012-10-01 17:25:00')",8.114315139031925,5.2551848512173125,7.6261487707722777,5.1103095882176133,9.5089463220675938,17:22:30
"('2012-10-01 17:25:00', '2012-10-01 17:30:00')",8.4297520661157019,5.2660550458715596,7.792813947508729,5.2993883792048928,9.682634730538922,17:27:30
"('2012-10-01 17:30:00', '2012-10-01 17:35:00')",8.1821019771071803,5.2523020257826891,7.5693356952471689,5.216697360343769,9.273603082851638,17:32:30
"('2012-10-01 17:35:00', '2012-10-01 17:40:00')",8.1941544885177446,5.3069767441860467,7.6141336913245441,5.2362790697674422,9.3412698412698418,17:37:30
"('2012-10-01 17:40:00', '2012-10-01 17:45:00')",8.1164021164021172,5.2971698113207548,7.5475211747871755,5.1194968553459121,9.2289915966386555,17:42:30
"('2012-10-01 17:45:00', '2012-10-01 17:50:00')",8.2293388429752063,5.1983842010771992,7.4688699334301356,5.0739078396169957,8.978886756238003,17:47:30
"('2012-10-01 17:50:00', '2012-10-01 17:55:00')",8.3800195886385893,5.2980189491817402,7.5448007247279891,5.2055699109962674,8.956363636363637,17:52:30
"('2012-10-01 17:55:00', '2012-10-01 18:00:00')",8.1838610827374865,5.1188118811881189,7.4294232239148457,4.9660966096609664,8.9855967078189298,17:57:30
"('2012-10-01 18:00:00', '2012-10-01 18:05:00')",8.0381526104417667,5.3412698412698409,7.4972678013641874,5.1008230452674894,9.1123809523809527,18:02:30
"('2012-10-01 18:05:00', '2012-10-01 18:10:00')",8.5116959064327489,5.2541054451166813,7.5804845084874914,5.3434168827427255,8.9756521739130442,18:07:30
"('2012-10-01 18:10:00', '2012-10-01 18:15:00')",8.1378205128205128,5.2140871177015757,7.5383896423940691,5.1071980228606737,9.2632612966601187,18:12:30
"('2012-10-01 18:15:00', '2012-10-01 18:20:00')",8.315577889447237,5.2811387900355875,7.6215925053282421,5.2286476868327405,9.2680608365019008,18:17:30
"('2012-10-01 18:20:00', '2012-10-01 18:25:00')",8.1339285714285712,5.3008695652173916,7.4061773209645496,5.0855072463768112,8.7837338262476887,18:22:30
"('2012-10-01 18:25:00', '2012-10-01 18:30:00')",8.6156156156156154,5.1826923076923075,7.6513683415857328,5.2785547785547786,9.1557971014492754,18:27:30
"('2012-10-01 18:30:00', '2012-10-01 18:35:00')",8.4679552390640893,5.2889469103568318,7.5142486898553704,5.1389614157238181,8.7858439201451901,18:32:30
"('2012-10-01 18:35:00', '2012-10-01 18:40:00')",8.4873046875,5.2957264957264956,7.6339120730659067,5.2527065527065524,9.1187050359712227,18:37:30
"('2012-10-01 18:40:00', '2012-10-01 18:45:00')",8.5857819905213262,5.1133333333333333,7.5840396191411878,5.2111111111111112,9.053003533568905,18:42:30
"('2012-10-01 18:45:00', '2012-10-01 18:50:00')",8.6198428290766209,5.0555555555555554,7.5556122469321876,5.1863075196408532,8.9914383561643838,18:47:30
"('2012-10-01 18:50:00', '2012-10-01 18:55:00')",8.7141453831041265,5.1974248927038627,7.6049897341542421,5.2638054363376252,8.9033989266547398,18:52:30
"('2012-10-01 18:55:00', '2012-10-01 19:00:00')",8.8393574297188753,5.1453138435081689,7.5866441990896192,5.2487818859272002,8.7752613240418125,18:57:30
"('2012-10-01 19:00:00', '2012-10-01 19:05:00')",8.7426246185147516,5.1955357142857146,7.7313672772954627,5.3738095238095234,9.2559414990859228,19:02:30
"('2012-10-01 19:05:00', '2012-10-01 19:10:00')",9.0476190476190474,5.1290043290043288,7.7219504612682348,5.356709956709957,8.9892280071813282,19:07:30
"('2012-10-01 19:10:00', '2012-10-01 19:15:00')",8.8927038626609445,5.0881801125703561,7.8304139302246201,5.4484052532833021,9.5103578154425605,19:12:30
"('2012-10-01 19:15:00', '2012-10-01 19:20:00')",8.6356413166855841,5.2615535889872174,7.5742072835481125,5.3615208128482461,8.8254269449715377,19:17:30
"('2012-10-01 19:20:00', '2012-10-01 19:25:00')",9.2331428571428571,5.233830845771144,7.8368173212611891,5.6089552238805966,9.0434782608695645,19:22:30
"('2012-10-01 19:25:00', '2012-10-01 19:30:00')",9.2579075425790762,4.9804123711340207,7.7236643936799432,5.4041237113402065,8.9326732673267326,19:27:30
"('2012-10-01 19:30:00', '2012-10-01 19:35:00')",8.9089692101740301,5.1790697674418604,7.6996049465616183,5.5317829457364338,9.0107758620689662,19:32:30
"('2012-10-01 19:35:00', '2012-10-01 19:40:00')",9.3252361673414299,5.2032710280373831,7.9042589527667202,5.60708722741433,9.1842696629213485,19:37:30
"('2012-10-01 19:40:00', '2012-10-01 19:45:00')",9.0839260312944532,5.1656662665066024,7.752827062229982,5.4889955982392955,9.0088888888888885,19:42:30
"('2012-10-01 19:45:00', '2012-10-01 19:50:00')",9.253373313343328,5.4058898847631243,7.8797040215350647,5.5326504481434062,8.9798488664987399,19:47:30
"('2012-10-01 19:50:00', '2012-10-01 19:55:00')",9.2511278195488718,5.6318537859007831,7.9626522432759215,5.724978241949521,9.0049751243781095,19:52:30
"('2012-10-01 19:55:00', '2012-10-01 20:00:00')",9.2363919129082426,5.5508241758241761,7.9775414173325752,5.8255494505494507,9.1454081632653068,19:57:30
"('2012-10-01 20:00:00', '2012-10-01 20:05:00')",9.038142620232172,5.5780346820809248,7.8693995263029466,5.723025048169557,8.9920212765957448,20:02:30
"('2012-10-01 20:05:00', '2012-10-01 20:10:00')",9.4222222222222225,5.5708215297450421,8.0565047800675202,5.6520302171860246,9.1764705882352935,20:07:30
"('2012-10-01 20:10:00', '2012-10-01 20:15:00')",9.3016157989227999,5.1923076923076925,7.8055876658011103,5.4405128205128204,8.9228395061728403,20:12:30
